"projectID","projectAcronym","name","country","city","role","activityType","SME","ecContribution","netEcContribution","totalCost","geolocation"
875510,"EUbOPEN","JOHANN WOLFGANG GOETHE-UNIVERSITAET FRANKFURT AM MAIN","DE","Frankfurt Am Main","coordinator","HES","false","7171503","7171503","11661960","50.1277717,8.668955210733918"
875510,"EUbOPEN","INSTITUT SERVIER D'INNOVATION THERAPEUTIQUE","FR","GIF-SUR-YVETTE","participant","PRC","false","0","0","1777950",""
875510,"EUbOPEN","KAROLINSKA INSTITUTET","SE","Stockholm","participant","HES","false","7909929.25","7909929.25","11147070","59.3481714,18.0250493"
875510,"EUbOPEN","THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO","CA","Toronto","participant","HES","false","0","0","2489813.75","43.6617383,-79.3951455448675"
875510,"EUbOPEN","BAYER AKTIENGESELLSCHAFT","DE","Leverkusen","participant","PRC","false","0","0","3347000","51.01934565,6.984493328121892"
875510,"EUbOPEN","THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD","UK","Oxford","participant","HES","false","8152162","8152162","12119999.25","51.7520131,-1.2578498"
875510,"EUbOPEN","RELAY ML DISCOVERY, LLC","US","Cambridge","participant","PRC","false","0","0","432381","45.606003799999996,-93.20374880888505"
875510,"EUbOPEN","ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING MCGILL UNIVERSITY","CA","Montreal","participant","HES","false","0","0","660000","45.4565404,-73.6402679"
875510,"EUbOPEN","CHEMOTHERAPEUTISCHES FORSCHUNGSINSTITUT GEORG-SPEYER-HAUS STIFTUNG","DE","Frankfurt","participant","REC","false","737754","737754","1561193.75","50.098415,8.6694757"
865176,"Ctrl-BBB","UNIVERSITE LIBRE DE BRUXELLES","BE","Bruxelles / Brussel","coordinator","HES","false","2286542.5","2286542.5","2286542.5","50.8127449,4.3794563"
825489,"GOLIATH","LINKOPINGS UNIVERSITET","SE","Linkoping","participant","HES","false","338287.5","338287.5","338287.5","58.4004423,15.5765096"
825489,"GOLIATH","THE UNIVERSITY COURT OF THE UNIVERSITY OF ABERDEEN","UK","Aberdeen","participant","HES","false","220159.94","220159.94","220159.94","57.1639845,-2.1012095"
825489,"GOLIATH","VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.","BE","Mol","participant","REC","false","137510","137510","137510","51.2190202,5.09349006749143"
825489,"GOLIATH","INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE","FR","Paris","participant","REC","false","1077695","1077695","1077695","48.8266111,2.3652703"
825489,"GOLIATH","HOFFMANN SEBASTIAN","DE","","participant","PRC","","75000","75000","75000","51.6904095,8.701695693800957"
825489,"GOLIATH","BIOPREDIC INTERNATIONAL SARL","FR","Saint-Gregoire","participant","PRC","TRUE","243750","243750","243750","49.2430901,0.6359929"
825489,"GOLIATH","Department of Health","UK","Leeds","participant","REC","false","497033.43","497033.43","497033.43","53.798210600000004,-1.5307488333333406"
